old                                      new
f3cdfe81b147bea84e5217fe2ffd5b238a450262 804cd143782a03ffebdcfc13a9f139ce673d6cd5
ce922da3ea8fe19de7da4ba3f963c7b56020e95e d78a1899d9e1ac29ddacb4caf91bf76ce758fefd
989e90d887a852ae7a32f6f9baf702410fc56e58 45bc638f57a766fbf51dc9ceb010ae1cf38384a5
7fc803756834972242eadd4f182c12e70084e0c2 c0d126d8f4e7fbc321cfe947b4ac73fe828687a9
153593140439ba6bce4a3f610c8eec9e1f402dee a35e67a77b978775770200a877afd5be5d8fca1a
f02facc8db960992802c9efad32bd6476a3f0f60 c2e5e9b97a62731cc7426b0363b69799a4ea27f4
2adbabbf490c51a25fa80458abb4bf817c765cff d4ee505f0b3c9d8a8af9852fbe3bee5ebead1906
e2f716fb2b0eafd10ba5f9d02f70307c9ee8ecff ee88d46fdd3cecb40bdbcf4799457cd9b4844c5a
c3b0f4caffe2a32304ce61608831d5cbc156f423 54e6f71461b007bb8d2cb436822727c3e29864bd
fff8af7261bb7ee9833bc0e8e8a0facf06be0d17 6ea7c92f5ecaa326bd92f1d64329f5fb069f9197
5b0f4061f288ed16950136e64714c37d65348e9e 5a23b3ab4bb4c894960eaa294590977ca9b61588
75a88dd7300c9a7a146d8a3ee923c707766bf1be 2128697e700f26b9b145febae7cf7f8919b2dc2b
b5e2096f73c994dcafdc21338799fd4626c864cf 468aed6df608a265ff0590d8ab9f49a658385683
2126e21b063cf4cff16eeb9141adf4ac80f42740 bab3e356d64a585629b763e0d2c01c2b615f7fe6
d5e0953ceb89c03aaeda50a8c5dc17399b5b0de7 302c2eca568026732261f1f335d443af64a7a591
2ab81f90d6f3cf1f99bd48eb86d56c5a5d3cfcd2 ae1d226ff212dd3b39fb6adece34a5e9bf4dbabd
588156c55415475949d7ed720a91af53a7e877b2 80aa58041fe960a0a43b38c115e05cea9ca11e2a
eb29ddfe2589581713540fc005f0173d04dfb6f6 06d942a9e2a2cd5bd7449bcec023e2b5c428b2c4
b76a5dd31c4d5641ea3ad63283a43d8bdb7c83f4 0032de03fede7af0021ca02a09a8c274609e9f17
0983ed4c900a2303d6a1b77cfa13cbe2c1e25578 b7e9f47305865230d7384558f93e5683075fe479
926ba2b3883f4cc5819cc13f18ed28bf30f1c219 26443562f219ab3608aa8fd4da13a5036581d79a
256fa89d06b0e9a7c09cafa91cfa82b3fdd54149 c4d5464b50ac09e8d848ff73718fbbdc5b4748b1
8c6443c2ddd5a9f3351aa2941f25149e703f9080 1b954b488c381a0fc3d65e53db846222b207adf1
99d14123643c651feced2e7ddb9dd16cbae9fcef 34ce547437bc2720fbcbfdb80ee7e825a46f6e88
5b7ab0c06bdbc4640a957940fd8a8f297455b9f5 8ac54439a1d757c193b2c7bf19188f981131c5a4
1ea3bead961f48bf13bfb103eee834c3d2a0f1d0 68d21f08a9a4466a18a0f91898df0e29b5e246c6
7cf13ee4dd5d3336eea9dc7a6dd66179a2b96cc9 128a9e32544eab2b60429d060b1d60d4911facf6
3acfb048bb9b06c360679c2c005448f90d960e6e 9c29a400dddaf80afdcb3f4d3cc213f8cde35abc
c31742149fd3e56b923038380ded9c45d4348690 910e17ff28d62ab43fa263916826811bee33deb4
f5822d30e987dc0c025be0f7aa6350f23f324f65 2c5a9d6c27fd0d951ce5aa6f812b005ee3d1c1af
1ef8de73da02441fec289cdf1cc5676c0aa9e5ac 9466dda05910a6cc1991ca5ba12ac6f7694fbafb
4d210c4fcc314e8e11173070c210cd6361cddb4d 3f8e772495563155b615c6dfc01eec6fb7aa385e
03a089c349e5842e11b2a567168bae5f8a12223e 2336874358fc0cc320551bcee187d78653a7b614
235c285d1e0dd882ebf4b6dc5496c02c5ac028d9 4213ecb42cd3b6dfca4ab63d4223dcd46dd22c4e
6dca5c0d8627c8c41e12101b74ddb64239527bea 131b5949eefff16c20db19214c46b0fd52627ddd
eb4db696e651aaa16963953b699c3623a118b8fa 110fe6f9afe441ce88693a3009331c7ff19f8db9
9efce31155c61bb0dbb0d3c60b219411689641b1 368ebed7a55bc05710253ae5ef65c782d9a9e51c
b4b7be429322f386a7fb7754262d93c1e8a2fab5 a9c8e3e0b9418cbd3570944dcaa10751c14bb197
0150d12377c619bd2fd7ccb6b82c7200cdbb4352 d5e39bc92cd9bdd107f6ce03a13cda4c486a3994
39dd9373e0b63836fa6a05ebcbf94b58df11fa33 abc05f3c97d73a8c46e914fc18e516ce865e8288
9afa92b53b3eb69cc00e4dc641e90cc24d2d4537 3dc748db02d1841a84a8a5f7374267a24da43fa6
68f64ab063ab3a1ecdd18910010704acb577728f f4d3c5793e0c90966223b3c468e41ee169d1dc1f
788a7bda053a57e03b72c3e34b1febdae78f45fe 91f8f49dcc2166bc43306c671158ba10458f878f
b39daf4a56711399d58fe8b50b2424a70d6c6267 70d53058939da20fccf8ec7da3b74428ef9c99e7
ac845a72fa779f70fd2ff329e6c07bf196159e90 13955ef32c440714fcafcdf66a546032b372a598
5c2058b421b9cf859f5afa5a52e3ad96bcde6b2d b63a19b3490daa206d0a96e95bc5ba7256ac2cfb
5ea6433107c73add6b1c3189c1b4e7b8ade44d5c a3b48ab8a783230f715d4e84293668301612a66a
173be23b433612276eef2ffb1320fc47b016fd92 6f52eccab043bb719b45ac04e746807b72d7a24c
